2025-09-01T04:11:46.059186+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'c5180384-2b57-4a46-9e2d-5407bbc1e2c8', 'counter': 28, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 21, 'end_line': 22, 'runner_ident': 'c0fdd05c-c6d3-40bd-8b2d-c45657124a20', 'created': '2025-09-01T04:11:46.054817+00:00'}
2025-09-01T04:11:46.079818+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'd32826e6-b822-438b-b0b7-7c0ea08e69e8', 'counter': 29, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 22, 'end_line': 23, 'runner_ident': 'c0fdd05c-c6d3-40bd-8b2d-c45657124a20', 'created': '2025-09-01T04:11:46.074390+00:00'}
2025-09-01T04:11:46.080246+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'b318963d-1bc3-447c-8023-979785be5bbe', 'counter': 30, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 23, 'end_line': 24, 'runner_ident': 'c0fdd05c-c6d3-40bd-8b2d-c45657124a20', 'created': '2025-09-01T04:11:46.075697+00:00'}
2025-09-01T04:11:46.100803+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'a93a33bb-ce09-498d-beb7-50f4ab1ba7c7', 'counter': 31, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 24, 'end_line': 25, 'runner_ident': 'c0fdd05c-c6d3-40bd-8b2d-c45657124a20', 'created': '2025-09-01T04:11:46.099191+00:00'}
2025-09-01T04:11:46.101222+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '3a4b1443-b8d4-4a9e-b137-fd45a8d5f1ae', 'counter': 32, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 25, 'end_line': 26, 'runner_ident': 'c0fdd05c-c6d3-40bd-8b2d-c45657124a20', 'created': '2025-09-01T04:11:46.099384+00:00'}
2025-09-01T04:12:57.638310+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '1c12a47c-7441-4339-b80b-af736aa4605f', 'counter': 5, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 4, 'end_line': 5, 'runner_ident': '1163e10c-e806-4408-b575-7683a9d137d7', 'created': '2025-09-01T04:12:57.630794+00:00'}
2025-09-01T04:12:57.638966+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '1e424ef9-89f5-4dd5-b2c9-0686f55dc604', 'counter': 6, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 5, 'end_line': 6, 'runner_ident': '1163e10c-e806-4408-b575-7683a9d137d7', 'created': '2025-09-01T04:12:57.630992+00:00'}
2025-09-01T04:13:00.305504+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '4ec7aefd-547a-4d22-8009-c38d8c9fd654', 'counter': 10, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 9, 'end_line': 10, 'runner_ident': '1163e10c-e806-4408-b575-7683a9d137d7', 'created': '2025-09-01T04:13:00.300601+00:00'}
2025-09-01T04:13:00.305754+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'e3136840-f4a6-4396-bbf1-0919435b5239', 'counter': 11, 'stdout': '  from pkg_resources import get_distribution as _get_dist  # noqa: WPS433', 'start_line': 10, 'end_line': 11, 'runner_ident': '1163e10c-e806-4408-b575-7683a9d137d7', 'created': '2025-09-01T04:13:00.300812+00:00'}
2025-09-01T04:14:00.394938+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '21004383-7858-4161-9f81-fc8b700d6777', 'counter': 5, 'stdout': '/usr/lib64/python3.9/site-packages/pylibsshext/_version.py:15: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.', 'start_line': 4, 'end_line': 5, 'runner_ident': '9dc45db3-ec40-4cd6-80a6-85fd5de03b9b', 'created': '2025-09-01T04:14:00.386325+00:00'}
